"TIME","GEO","AIRPOL","NACE_R2","UNIT","Value","Flag and Footnotes"
"2006","European Union (28 countries)","Carbon dioxide","Total - all NACE activities","Tonne",":",""
"2006","European Union (28 countries)","Carbon dioxide","Agriculture, forestry and fishing","Tonne",":",""
"2006","European Union (28 countries)","Carbon dioxide","Mining and quarrying","Tonne",":",""
"2006","European Union (28 countries)","Carbon dioxide","Manufacturing","Tonne",":",""
"2006","European Union (28 countries)","Carbon dioxide","Electricity, gas, steam and air conditioning supply","Tonne",":",""
"2006","European Union (28 countries)","Carbon dioxide","Water supply; sewerage, waste management and remediation activities","Tonne",":",""
"2006","European Union (28 countries)","Carbon dioxide","Wholesale and retail trade; repair of motor vehicles and motorcycles","Tonne",":",""
"2006","European Union (28 countries)","Carbon dioxide","Transportation and storage","Tonne",":",""
"2006","European Union (28 countries)","Carbon dioxide","Accommodation and food service activities","Tonne",":",""
"2006","European Union (28 countries)","Carbon dioxide","Information and communication","Tonne",":",""
"2006","European Union (28 countries)","Carbon dioxide","Financial and insurance activities","Tonne",":",""
"2006","European Union (28 countries)","Carbon dioxide","Real estate activities","Tonne",":",""
"2006","European Union (28 countries)","Carbon dioxide","Professional, scientific and technical activities","Tonne",":",""
"2006","European Union (28 countries)","Carbon dioxide","Administrative and support service activities","Tonne",":",""
"2006","European Union (28 countries)","Carbon dioxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","European Union (28 countries)","Carbon dioxide","Education","Tonne",":",""
"2006","European Union (28 countries)","Carbon dioxide","Human health and social work activities","Tonne",":",""
"2006","European Union (28 countries)","Carbon dioxide","Arts, entertainment and recreation","Tonne",":",""
"2006","European Union (28 countries)","Carbon dioxide","Other service activities","Tonne",":",""
"2006","European Union (28 countries)","Carbon dioxide","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Tonne",":",""
"2006","European Union (28 countries)","Carbon dioxide","Activities of extraterritorial organisations and bodies","Tonne",":",""
"2006","Belgium","Nitrogen oxides","Total - all NACE activities","Tonne","240,792.16",""
"2006","Belgium","Nitrogen oxides","Agriculture, forestry and fishing","Tonne","19,888.21",""
"2006","Belgium","Nitrogen oxides","Mining and quarrying","Tonne","12.48",""
"2006","Belgium","Nitrogen oxides","Manufacturing","Tonne","78,700.48",""
"2006","Belgium","Nitrogen oxides","Electricity, gas, steam and air conditioning supply","Tonne","29,760.52",""
"2006","Belgium","Nitrogen oxides","Water supply; sewerage, waste management and remediation activities","Tonne","4,595.28",""
"2006","Belgium","Nitrogen oxides","Wholesale and retail trade; repair of motor vehicles and motorcycles","Tonne","10,702.49",""
"2006","Belgium","Nitrogen oxides","Transportation and storage","Tonne","58,757.43",""
"2006","Belgium","Nitrogen oxides","Accommodation and food service activities","Tonne","643.38",""
"2006","Belgium","Nitrogen oxides","Information and communication","Tonne","985.35",""
