"TIME","CPA02","AIRPOL","ORIGIN","UNIT","T_COLS","GEO","Value","Flag and Footnotes"
"2000","Food products and beverages","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","689,829","e"
"2000","Food products and beverages","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","1,106,625","e"
"2000","Food products and beverages","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","5,174,854","e"
"2000","Food products and beverages","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","435,026","e"
"2000","Food products and beverages","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","252,226,250","e"
"2000","Tobacco products","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","17,734","e"
"2000","Tobacco products","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","27,460","e"
"2000","Tobacco products","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","121,035","e"
"2000","Tobacco products","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","10,135","e"
"2000","Tobacco products","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","6,248,290","e"
"2000","Textiles","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","137,776","e"
"2000","Textiles","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","114,055","e"
"2000","Textiles","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","195,372","e"
"2000","Textiles","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","14,286","e"
"2000","Textiles","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","44,867,590","e"
"2000","Wearing apparel; furs","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","140,063","e"
"2000","Wearing apparel; furs","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","138,490","e"
"2000","Wearing apparel; furs","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","196,561","e"
"2000","Wearing apparel; furs","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","11,950","e"
"2000","Wearing apparel; furs","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","45,167,600","e"
