"TIME","GEO","AIRPOL","NACE_R2","UNIT","Value","Flag and Footnotes"
"2006","Denmark","Nitrous oxide","Total - all NACE activities","Tonne","18,833.2",""
"2006","Denmark","Nitrous oxide","Public administration and defence; compulsory social security","Tonne","8.86",""
"2006","Denmark","Nitrous oxide","Education","Tonne","3.53",""
"2006","Denmark","Nitrous oxide","Human health and social work activities","Tonne","43.38",""
"2006","Denmark","Carbon dioxide","Total - all NACE activities","Tonne","94,787,263",""
"2006","Denmark","Carbon dioxide","Public administration and defence; compulsory social security","Tonne","360,335",""
"2006","Denmark","Carbon dioxide","Education","Tonne","144,350",""
"2006","Denmark","Carbon dioxide","Human health and social work activities","Tonne","221,212",""
"2006","Germany (until 1990 former territory of the FRG)","Nitrogen oxides","Total - all NACE activities","Tonne",":",""
"2006","Germany (until 1990 former territory of the FRG)","Nitrogen oxides","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Germany (until 1990 former territory of the FRG)","Nitrogen oxides","Education","Tonne",":",""
"2006","Germany (until 1990 former territory of the FRG)","Nitrogen oxides","Human health and social work activities","Tonne",":",""
"2006","Germany (until 1990 former territory of the FRG)","Methane","Total - all NACE activities","Tonne",":",""
"2006","Germany (until 1990 former territory of the FRG)","Methane","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Germany (until 1990 former territory of the FRG)","Methane","Education","Tonne",":",""
"2006","Germany (until 1990 former territory of the FRG)","Methane","Human health and social work activities","Tonne",":",""
"2006","Germany (until 1990 former territory of the FRG)","Nitrous oxide","Total - all NACE activities","Tonne",":",""
"2006","Germany (until 1990 former territory of the FRG)","Nitrous oxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Germany (until 1990 former territory of the FRG)","Nitrous oxide","Education","Tonne",":",""
"2006","Germany (until 1990 former territory of the FRG)","Nitrous oxide","Human health and social work activities","Tonne",":",""
"2006","Germany (until 1990 former territory of the FRG)","Carbon dioxide","Total - all NACE activities","Tonne",":",""
"2006","Germany (until 1990 former territory of the FRG)","Carbon dioxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Germany (until 1990 former territory of the FRG)","Carbon dioxide","Education","Tonne",":",""
"2006","Germany (until 1990 former territory of the FRG)","Carbon dioxide","Human health and social work activities","Tonne",":",""
"2006","Estonia","Nitrogen oxides","Total - all NACE activities","Tonne",":",""
"2006","Estonia","Nitrogen oxides","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Estonia","Nitrogen oxides","Education","Tonne",":",""
"2006","Estonia","Nitrogen oxides","Human health and social work activities","Tonne",":",""
"2006","Estonia","Methane","Total - all NACE activities","Tonne",":",""
"2006","Estonia","Methane","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Estonia","Methane","Education","Tonne",":",""
"2006","Estonia","Methane","Human health and social work activities","Tonne",":",""
"2006","Estonia","Nitrous oxide","Total - all NACE activities","Tonne",":",""
"2006","Estonia","Nitrous oxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Estonia","Nitrous oxide","Education","Tonne",":",""
"2006","Estonia","Nitrous oxide","Human health and social work activities","Tonne",":",""
"2006","Estonia","Carbon dioxide","Total - all NACE activities","Tonne",":",""
"2006","Estonia","Carbon dioxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Estonia","Carbon dioxide","Education","Tonne",":",""
"2006","Estonia","Carbon dioxide","Human health and social work activities","Tonne",":",""
"2006","Ireland","Nitrogen oxides","Total - all NACE activities","Tonne","112,336.6",""
"2006","Ireland","Nitrogen oxides","Public administration and defence; compulsory social security","Tonne","1,137.26",""
"2006","Ireland","Nitrogen oxides","Education","Tonne","299.97",""
"2006","Ireland","Nitrogen oxides","Human health and social work activities","Tonne","115.6",""
"2006","Ireland","Methane","Total - all NACE activities","Tonne","551,214.63",""
"2006","Ireland","Methane","Public administration and defence; compulsory social security","Tonne","42.58",""
"2006","Ireland","Methane","Education","Tonne","26.47",""
"2006","Ireland","Methane","Human health and social work activities","Tonne","9.14",""
"2006","Ireland","Nitrous oxide","Total - all NACE activities","Tonne","23,478.94",""
"2006","Ireland","Nitrous oxide","Public administration and defence; compulsory social security","Tonne","4.94",""
"2006","Ireland","Nitrous oxide","Education","Tonne","1.4",""
"2006","Ireland","Nitrous oxide","Human health and social work activities","Tonne","130.72",""
"2006","Ireland","Carbon dioxide","Total - all NACE activities","Tonne","33,479,566",""
"2006","Ireland","Carbon dioxide","Public administration and defence; compulsory social security","Tonne","437,445",""
"2006","Ireland","Carbon dioxide","Education","Tonne","211,668",""
"2006","Ireland","Carbon dioxide","Human health and social work activities","Tonne","74,267",""
"2006","Greece","Nitrogen oxides","Total - all NACE activities","Tonne",":",""
"2006","Greece","Nitrogen oxides","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Greece","Nitrogen oxides","Education","Tonne",":",""
"2006","Greece","Nitrogen oxides","Human health and social work activities","Tonne",":",""
"2006","Greece","Methane","Total - all NACE activities","Tonne",":",""
"2006","Greece","Methane","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Greece","Methane","Education","Tonne",":",""
"2006","Greece","Methane","Human health and social work activities","Tonne",":",""
"2006","Greece","Nitrous oxide","Total - all NACE activities","Tonne",":",""
"2006","Greece","Nitrous oxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Greece","Nitrous oxide","Education","Tonne",":",""
"2006","Greece","Nitrous oxide","Human health and social work activities","Tonne",":",""
"2006","Greece","Carbon dioxide","Total - all NACE activities","Tonne",":",""
"2006","Greece","Carbon dioxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Greece","Carbon dioxide","Education","Tonne",":",""
"2006","Greece","Carbon dioxide","Human health and social work activities","Tonne",":",""
"2006","Spain","Nitrogen oxides","Total - all NACE activities","Tonne",":",""
"2006","Spain","Nitrogen oxides","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Spain","Nitrogen oxides","Education","Tonne",":",""
"2006","Spain","Nitrogen oxides","Human health and social work activities","Tonne",":",""
"2006","Spain","Methane","Total - all NACE activities","Tonne",":",""
"2006","Spain","Methane","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Spain","Methane","Education","Tonne",":",""
"2006","Spain","Methane","Human health and social work activities","Tonne",":",""
"2006","Spain","Nitrous oxide","Total - all NACE activities","Tonne",":",""
"2006","Spain","Nitrous oxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Spain","Nitrous oxide","Education","Tonne",":",""
"2006","Spain","Nitrous oxide","Human health and social work activities","Tonne",":",""
"2006","Spain","Carbon dioxide","Total - all NACE activities","Tonne",":",""
"2006","Spain","Carbon dioxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Spain","Carbon dioxide","Education","Tonne",":",""
"2006","Spain","Carbon dioxide","Human health and social work activities","Tonne",":",""
